Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1659729,CSS Pocket Reference,Eric A. Meyer,"Meyer, Eric A.",,"=""0596001207""","=""9780596001209""",0,3.88,O'Reilly Media,Paperback,96,2001,2001,,2016/04/11,"to-read, acm2","to-read (#23), acm2 (#23)",to-read,,,,,,,0,,,,,
2294190,mod_perl Pocket Reference: Extending Apache,Andrew Ford,"Ford, Andrew",,"=""0596000472""","=""9780596000479""",0,2.80,O'Reilly Media,Paperback,94,2000,2000,,2016/04/11,"to-read, acm2","to-read (#21), acm2 (#21)",to-read,,,,,,,0,,,,,
391749,ActionScript for Flash MX Pocket Reference: Quick Reference for Flash MX Programmers,Colin Moock,"Moock, Colin",Bruce A. Epstein,"=""0596005148""","=""9780596005146""",0,3.79,O'Reilly Media,Paperback,144,2003,2001,,2016/04/11,"to-read, acm2","to-read (#20), acm2 (#20)",to-read,,,,,,,0,,,,,
852931,PHP Pocket Reference,Rasmus Lerdorf,"Lerdorf, Rasmus",,"=""0596004028""","=""9780596004026""",0,3.63,O'Reilly Media,Paperback,140,2002,2000,,2016/04/11,"to-read, acm2","to-read (#18), acm2 (#18)",to-read,,,,,,,0,,,,,
3420085,Getting Started with Flex 3: An Adobe Developer Library Pocket Guide for Developers,Jack Herrington,"Herrington, Jack",Emily Kim,"=""0596520646""","=""9780596520649""",0,3.27,Adobe Developer Library,Paperback,148,2008,2008,,2016/04/11,"to-read, acm2","to-read (#19), acm2 (#19)",to-read,,,,,,,0,,,,,
889149,GNU Emacs Pocket Reference,Debra Cameron,"Cameron, Debra",,"=""1565924967""","=""9781565924963""",0,3.39,O'Reilly Media,Paperback,64,1998,1998,,2016/04/11,"to-read, acm2","to-read (#17), acm2 (#17)",to-read,,,,,,,0,,,,,
143667,Gimp Pocket Reference,Sven Neumann,"Neumann, Sven",Sven Riedel,"=""1565927311""","=""9781565927315""",0,3.20,O'Reilly Media,Paperback,104,2000,2000,,2016/04/11,"acm2, to-read","acm2 (#16), to-read (#16)",to-read,,,,,,,0,,,,,
1842185,Perl 5 Desktop Reference,Johan Vromans,"Vromans, Johan",,"=""1565921879""","=""9781565921870""",0,4.00,O'Reilly Media,Paperback,46,1996,1996,,2016/04/11,"to-read, acm2","to-read (#15), acm2 (#15)",to-read,,,,,,,0,,,,,
1036840,Perl Debugger Pocket Reference,Richard  Foley,"Foley, Richard",,"=""0596005032""","=""9780596005030""",0,3.92,O'Reilly Media,Paperback,144,2004,2004,,2016/04/11,"to-read, acm2","to-read (#14), acm2 (#14)",to-read,,,,,,,0,,,,,
1380477,TCL/TK Pocket Reference,Paul Raines,"Raines, Paul",,"=""1565924983""","=""9781565924987""",0,3.17,O'Reilly Media,Paperback,94,1998,1998,,2016/04/11,"to-read, acm2","to-read (#13), acm2 (#13)",to-read,,,,,,,0,,,,,
1404140,Perl 5 Pocket Reference: Programming Tools,Johan Vromans,"Vromans, Johan",Linda Mui,"=""0596000324""","=""9780596000325""",0,3.53,O'Reilly Media,Paperback,96,2000,2000,,2016/04/11,"to-read, acm2","to-read (#12), acm2 (#11)",to-read,,,,,,,0,,,,,
232095,Perl Pocket Reference,Johan Vromans,"Vromans, Johan",Linda Mui,"=""0596003749""","=""9780596003746""",0,4.26,O'Reilly Media,Paperback,96,2002,2002,,2016/04/11,"to-read, acm2","to-read (#11), acm2 (#10)",to-read,,,,,,,0,,,,,
1708131,Windows XP Pocket Reference,David A.  Karp,"Karp, David A.",,"=""0596004257""","=""9780596004255""",0,3.40,O'Reilly Media,Paperback,192,2002,2002,,2016/04/11,"to-read, acm2","to-read (#10), acm2 (#9)",to-read,,,,,,,0,,,,,
3060196,LINQ Pocket Reference (Pocket Reference (O'Reilly)),Joseph Albahari,"Albahari, Joseph",Ben Albahari,"=""0596519249""","=""9780596519247""",0,3.87,"O'Reilly Media, Inc.",Paperback,172,2008,2008,,2016/04/11,"to-read, acm2","to-read (#9), acm2 (#8)",to-read,,,,,,,0,,,,,
852920,VBScript Pocket Reference,Paul Lomax,"Lomax, Paul","Ron Petrusha, Matt Childs","=""0596001266""","=""9780596001261""",0,3.71,O'Reilly Media,Paperback,120,2001,2001,,2016/04/11,"to-read, acm2","to-read (#8), acm2 (#7)",to-read,,,,,,,0,,,,,
13215014,Word Pocket Guide,Walter Glenn,"Glenn, Walter",,"=""0596004451""","=""9780596004453""",0,3.67,O'Reilly Media,Paperback,160,2002,2002,,2016/04/11,"to-read, acm2","to-read (#7), acm2 (#6)",to-read,,,,,,,0,,,,,
843179,Windows 2000 Commands Pocket Reference,Æleen Frisch,"Frisch, Æleen",,"=""0596001487""","=""9780596001483""",0,3.44,O'Reilly Media,Paperback,128,2001,2001,,2016/04/11,"to-read, acm2","to-read (#6), acm2 (#5)",to-read,,,,,,,0,,,,,
3400124,sendmail Desktop Reference,Bryan Costales,"Costales, Bryan",Eric Allman,"=""1565922786""","=""9781565922785""",0,4.00,O'Reilly Media,Paperback,78,1997,1997,,2016/04/11,"to-read, acm2","to-read (#5), acm2 (#4)",to-read,,,,,,,0,,,,,
6632562,Mac OS X Snow Leopard Pocket Guide: The Ultimate Quick Guide to Mac OS X,Chris Seibold,"Seibold, Chris",,"=""0596802722""","=""9780596802721""",0,3.33,O'Reilly Media,Paperback,234,2009,2009,,2016/04/11,"to-read, acm2","to-read (#4), acm2 (#3)",to-read,,,,,,,0,,,,,
583694,CVS Pocket Reference,Gregor N. Purdy,"Purdy, Gregor N.",,"=""0596005679""","=""9780596005672""",0,3.06,O'Reilly Media,Paperback,84,2003,2000,,2016/04/11,"to-read, acm2","to-read (#3), acm2 (#2)",to-read,,,,,,,0,,,,,
1523755,JavaServer Pages Pocket Reference,Hans Bergsten,"Bergsten, Hans",,"=""0596002319""","=""9780596002312""",0,4.00,O'Reilly Media,Paperback,96,2001,2001,,2016/04/11,"to-read, acm2","to-read (#2), acm2 (#1)",to-read,,,,,,,0,,,,,
1574415,Knoppix Pocket Reference,Kyle Rankin,"Rankin, Kyle",,"=""0596100752""","=""9780596100759""",0,0.0,O'Reilly Media,Paperback,84,2005,2005,,2016/04/11,"to-read, acm2","to-read (#1), acm2 (#12)",to-read,,,,,,,0,,,,,
